"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"369","Top Esports","Top",8,"75%","75%",31,25,43,3,"51.7%","21.7%","22.7%","25%",191,326,6,8.6,"28.2%",557,"23.4%","24.5%",0.3,0.35
"Angel","Suning","Middle",10,"60%","50%",44,23,60,4.5,"62.7%","26.5%","14.7%","10%",127,70,7,8.1,"24.2%",613,"29.4%","23.2%",0.46,0.18
"Bin","Suning","Top",10,"60%","30%",38,44,55,2.1,"56.0%","22.9%","28.2%","20%",-14,-122,-1,7.5,"23.3%",504,"23.8%","23.0%",0.39,0.16
"huanfeng","Suning","ADC",10,"60%","60%",48,21,68,5.5,"69.9%","28.9%","13.5%","10%",-12,-90,-3.4,8.5,"31.5%",520,"23.4%","26.1%",0.42,0.26
"JackeyLove","Top Esports","ADC",8,"75%","50%",45,20,64,5.5,"76.2%","31.5%","18.2%","13%",-37,80,7,8.7,"27.3%",646,"26.9%","25.2%",0.37,0.44
"Kanavi","JD Gaming","Jungle",9,"56%","56%",35,28,64,3.5,"73.3%","25.9%","22.4%","67%",314,110,-0.4,6.7,"20.1%",466,"22.5%","20.6%",0.3,0.41
"Karsa","Top Esports","Jungle",8,"75%","38%",30,24,64,3.9,"65.7%","21.0%","21.8%","38%",-215,-278,-5.9,6,"18.4%",368,"16.7%","19.2%",0.62,0.45
"knight","Top Esports","Middle",8,"75%","13%",33,13,62,7.3,"66.4%","23.1%","11.8%","25%",204,10,1.4,8.3,"23.9%",638,"27.3%","22.4%",0.34,0.3
"LokeN","JD Gaming","ADC",9,"56%","33%",32,17,60,5.4,"68.1%","23.7%","13.6%","11%",372,225,6.1,9.4,"29.4%",423,"21.9%","25.9%",0.39,0.29
"LvMao","JD Gaming","Support",9,"56%","33%",4,37,70,2,"54.8%","3.0%","29.6%","33%",145,245,3,1.1,"2.7%",148,"7.4%","8.0%",1.79,0.41
"SofM","Suning","Jungle",10,"60%","80%",27,33,81,3.3,"65.1%","16.3%","21.2%","30%",240,412,6.4,5.9,"18.2%",342,"15.7%","18.2%",0.67,0.51
"SwordArt","Suning","Support",10,"60%","50%",9,35,86,2.7,"57.2%","5.4%","22.4%","10%",32,105,-0.9,1.1,"2.8%",158,"7.6%","9.5%",1.54,0.3
"Yagao","JD Gaming","Middle",9,"56%","78%",32,20,60,4.6,"68.1%","23.7%","16.0%","11%",-388,-118,-7,7.9,"22.7%",466,"24.6%","21.9%",0.37,0.26
"yuyanjia","Top Esports","Support",8,"75%","63%",4,28,88,3.3,"64.3%","2.8%","25.5%","13%",-6,-36,0.3,1,"2.2%",128,"5.7%","8.7%",1.68,0.32
"Zoom","JD Gaming","Top",9,"56%","56%",32,23,50,3.6,"60.7%","23.7%","18.4%","44%",110,74,2.8,8.4,"25.1%",438,"23.5%","23.6%",0.46,0.17